start,dest,longitude0,latitude0,longitude1,latitude1,the_geom,cartodb_id,created_at,updated_at
"6.1089,46.2369","13.197221,46.40763",6.1089,46.2369,13.197221,46.40763,0102000020E6100000020000003A234A7B836F184011363CBD521E4740392BA226FA642A402A6F47382D344740,80,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"6.1089,46.2369","7.2151973,43.6588726",6.1089,46.2369,7.2151973,43.6588726,0102000020E6100000020000003A234A7B836F184011363CBD521E474000C056AE5CDC1C40819DF6EF55D44540,81,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"6.1089,46.2369","9.515727871,40.89830295",6.1089,46.2369,9.515727871,40.89830295,0102000020E6100000020000003A234A7B836F184011363CBD521E47405229C77B0D0823403E135097FB724440,82,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"6.1089,46.2369","6.5522113,60.0605282",6.1089,46.2369,6.5522113,60.0605282,0102000020E6100000020000003A234A7B836F184011363CBD521E474034ED07E176351A402DBE5763BF074E40,83,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"6.1089,46.2369","2.7304827,39.5478183",6.1089,46.2369,2.7304827,39.5478183,0102000020E6100000020000003A234A7B836F184011363CBD521E4740A959565007D805403E53F9E81EC64340,84,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"6.1089,46.2369","14.2705696,50.10203975",6.1089,46.2369,14.2705696,50.10203975,0102000020E6100000020000003A234A7B836F184011363CBD521E474067953E19888A2C402E9276A30F0D4940,85,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"6.1089,46.2369","21.0344803,42.5801566",6.1089,46.2369,21.0344803,42.5801566,0102000020E6100000020000003A234A7B836F184011363CBD521E474034DB70B3D30835407FC74B92424A4540,86,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"6.1089,46.2369","49.6888701,34.0863844",6.1089,46.2369,49.6888701,34.0863844,0102000020E6100000020000003A234A7B836F184011363CBD521E47409C583BE52CD848403A71DEA40E0B4140,87,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"6.1089,46.2369","34.88091934,32.0027142",6.1089,46.2369,34.88091934,32.0027142,0102000020E6100000020000003A234A7B836F184011363CBD521E474061DB05F7C17041400E1E5CF058004040,88,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"6.1089,46.2369","-71.04661089,-34.4279072",6.1089,46.2369,-71.04661089,-34.4279072,0102000020E6100000020000003A234A7B836F184011363CBD521E4740FF0B3EACFBC251C089DCC2A9C53641C0,89,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
